CustomerID,Age,Gender,Membership Type,Total Spend,Items Purchased,Average Rating,Discount Applied,Days Since Last Purchase,Satisfaction Level
1532,31.0,Male,Silver,,8,2.9,False,123,High
1475,,,Bronze,243.14,3,3.2,True,13,Medium
1540,60.0,Male,Gold,272.84,8,4.1,No,137,Medium
1496,35.0,Female,Bronze,,6,4.2,True,88,High
1350,42.0,Female,Bronze,244.12,4,4.4,True,33,High
1238,54.0,Female,Silver,103.03,4,4.3,False,155,
1549,44.0,Male,Bronze,141.2,4,4.0,True,122,High
1192,47.0,Female,Silver,494.48,5,4.3,False,41,Medium
1174,65.0,Female,Bronze,$502.01,2,4.5,True,153,Medium
1381,40.0,Female,Silver,$265.90,5,3.6,True,22,Medium
1522,54.0,Male,Silver,283.26,4,3.8,True,93,Low
1195,43.0,Male,Silver,408.01,3,4.6,1,158,High
1349,,Male,Bronze,186.16,4,4.2,False,39,Medium
1301,43.0,Male,Bronze,60.03,3,3.7,False,42,High
1217,50.0,Male,Bronze,137.68,6,4.3,False,149,Medium
1408,31.0,Male,Silver,556.71,2,4.1,False,176,High
1288,,Male,Silver,185.69,9,4.7,True,4,
1255,49.0,Female,Bronze,368.72,6,3.2,True,121,Medium
1252,61.0,Male,Silver,342.6,6,4.0,False,10,High
1278,57.0,Female,Bronze,291.34,5,,0,3,Medium
1539,52.0,Female,Bronze,55.48,8,4.1,1,59,Medium
1551,21.0,Male,Silver,224.65,2,3.7,False,30,High
1143,28.0,Male,Gold,277.92,8,3.9,False,82,Medium
1260,19.0,Male,Bronze,119.98,5,3.2,False,40,Low
1488,28.0,Male,Bronze,624.13,6,3.3,False,39,High
1215,57.0,Female,Silver,505.17,5,3.6,False,160,High
1416,50.0,Male,Bronze,183.37,8,3.9,False,73,High
1140,19.0,Male,Silver,390.45,5,4.0,False,36,Medium
1264,57.0,Female,Bronze,189.2,4,5.0,True,153,High
1396,52.0,Male,Silver,211.78,2,4.3,True,109,
1294,21.0,Female,Bronze,117.39,6,3.7,False,155,Medium
1291,44.0,,Gold,454.57,6,3.8,No,106,High
1445,42.0,Male,Silver,248.5,1,5.0,True,166,High
1415,30.0,Female,Bronze,204.03,4,3.2,False,40,High
1150,35.0,Female,Bronze,71.74,9,4.8,False,157,Medium
1385,,Male,Silver,262.99,4,5.0,True,160,Medium
1453,26.0,Male,Bronze,99999.99,3,4.0,False,58,High
1292,32.0,Male,Silver,342.96,2,4.3,True,87,High
1422,35.0,Male,Bronze,135.25,5,4.1,False,58,Medium
1552,23.0,Female,Silver,188.74,6,,1,152,High
1219,31.0,Male,Bronze,354.46,8,4.8,True,62,Medium
1256,21.0,Male,Gold,$198.62,9,4.0,False,146,Medium
1119,21.0,Female,Silver,$94.49,7,3.8,No,101,Medium
1402,32.0,Male,Bronze,125.54,3,5.0,True,3,Medium
1395,39.0,Female,Bronze,68.79,3,4.3,True,42,Medium
1134,38.0,Male,Bronze,$226.10,6,4.0,True,91,Low
1318,19.0,Male,Bronze,259.79,5,3.9,No,154,High
1194,18.0,Male,Silver,361.46,1,4.0,No,174,High
1359,,Male,Bronze,255.59,6,4.4,False,90,Medium
1410,33.0,Male,Bronze,250.09,2,3.2,True,48,
1220,65.0,Male,Silver,325.12,7,4.7,No,98,High
1535,38.0,Female,Bronze,174.32,2,4.4,False,24,High
1335,44.0,Female,Bronze,355.48,2,3.2,0,124,Medium
1124,32.0,Male,Bronze,$175.04,3,3.5,False,172,Low
1369,62.0,Male,Gold,51.52,11,4.0,True,95,
1181,62.0,Female,Gold,305.99,4,2.3,True,146,
1264,57.0,Female,Bronze,189.2,4,5.0,True,153,High
1229,48.0,Female,Bronze,$135.00,6,3.0,True,2,Medium
1269,32.0,Male,Silver,387.61,8,3.5,False,90,Medium
1462,35.0,Male,Bronze,,6,4.0,False,40,High
1451,47.0,Male,Bronze,67.15,3,3.9,False,2,Low
1217,50.0,Male,Bronze,137.68,6,4.3,False,149,Medium
1137,65.0,Male,Bronze,$96.14,8,4.4,False,150,
1180,45.0,Female,Bronze,221.42,7,4.5,False,0,Medium
1208,45.0,Male,Bronze,255.3,10,4.8,True,161,High
1513,unknown,Male,Gold,391.65,9,3.4,False,57,Medium
1329,48.0,Male,Bronze,$268.63,4,4.1,False,163,High
1263,29.0,Female,Gold,82.57,6,3.9,False,99,Medium
1205,62.0,Female,Bronze,,4,3.9,True,163,Medium
1458,42.0,Female,Bronze,55.71,5,4.5,False,132,Medium
1312,57.0,Male,Bronze,65.83,9,,False,52,High
1456,--,Female,Silver,696.18,6,4.2,False,29,Medium
1476,42.0,Male,Silver,213.89,1,,False,23,Medium
1526,20.0,Male,Silver,385.03,4,4.5,False,90,High
1162,43.0,Female,Silver,$51.65,9,4.6,False,0,Low
1401,40.0,,Silver,346.37,6,3.3,False,131,Low
1120,20.0,Male,Bronze,181.89,2,4.6,False,149,High
1156,52.0,Female,Bronze,332.44,5,4.7,False,62,Medium
1176,37.0,Female,Gold,121.45,8,3.7,True,89,High
1520,61.0,Male,Bronze,109.39,5,4.2,0,6,High
1157,35.0,Female,Bronze,76.29,5,4.6,True,43,High
1390,19.0,Female,Gold,1476.8,11,3.6,False,51,High
1261,41.0,Male,Bronze,152.3,1,4.9,True,124,High
1548,26.0,Male,Bronze,350.56,4,4.2,0,158,Medium
1538,19.0,Male,Bronze,,5,,False,9,High
1469,20.0,Male,Bronze,198.49,11,4.5,False,18,High
1490,61.0,Male,Gold,535.24,8,3.6,False,135,High
1110,63.0,Female,Bronze,168.99,10,4.0,False,98,High
1330,24.0,Female,Bronze,226.94,5,2.8,Yes,62,High
1175,25.0,Female,Bronze,267.58,5,4.6,False,7,High
1375,30.0,Female,Gold,658.09,10,,No,129,High
1355,141,Female,Bronze,214.64,5,3.9,False,158,Medium
1316,29.0,Male,Silver,236.68,6,4.4,True,55,
1370,59.0,Male,Bronze,202.74,6,3.3,False,97,Medium
1232,55.0,Female,Gold,200.06,9,4.2,False,124,High
1550,61.0,Male,Gold,1035.24,6,2.7,True,134,High
1365,43.0,Male,Silver,113.51,4,3.0,False,172,Medium
1325,42.0,Male,Bronze,86.65,7,4.2,False,87,High
1115,N/A,Male,Gold,463.61,8,3.8,False,13,High
1459,52.0,Male,Bronze,153.39,6,3.3,True,149,High
1366,55.0,Male,Bronze,137.42,10,4.4,False,158,Medium
1473,59.0,Male,Silver,$111.99,5,4.3,False,21,Low
1442,31.0,Male,Bronze,182.02,5,3.7,True,57,Medium
1274,unknown,Female,Bronze,132.61,4,3.0,False,58,Medium
1339,39.0,Male,Bronze,291.22,2,4.8,False,124,High
1309,30.0,Male,Bronze,94.48,3,4.6,False,162,Medium
1311,43.0,Female,Silver,107.61,7,4.7,True,25,Medium
1304,21.0,Male,Bronze,144.71,8,3.9,False,124,Medium
1168,55.0,Female,Gold,854.37,7,5.0,False,126,High
1502,24.0,Female,Silver,71.69,3,3.9,True,65,Medium
1273,21.0,Female,Bronze,201.16,11,4.4,True,47,High
1299,37.0,Male,Silver,49.54,6,4.7,False,52,Low
